Sr No, Blood Bank Name, State, District, City, Address,Pincode, Contact No, Mobile, Helpline, Fax, Email, Website, Nodal Officer , Contact Nodal Officer, Mobile Nodal Officer, Email Nodal Officer, Qualification Nodal Officer, Category, Blood Component Available, Apheresis, Service Time, License #, Date License Obtained, Date of Renewal, Latitude, Longitude
2415,Shanti Nursing Home Blood Bank,Uttar Pradesh,ALIGARH,Aligarh,"Shanti Nursing Home, Complex, Ramghat Road",,0571-2742300,089585 25456,,,,,Dr. Surekha Chowdhry,,089585 25456,drsurekhachowdhry01101960@gmail.com,,Private,YES,2,,,,,27.8944192,78.0884576
2416,"S.R.N. Hospital, M.L. N. Medical College",Uttar Pradesh,ALLAHABAD,Allahabad,"Hanuman Mandir, Swarooprani Hospital, North Malaka",211001,0532 2256507,9415214308,9956255530,N/A,N/A,,Dr. Vatsala Mishra,9415214308,9415214308,N/A,MD (Pathology),Government,YES,NO,24x7,UP/B&BP/2004/08,6/9/2004,Applied for renewal,25.456005,81.852791
2417,Military Hospital Blood Bank,Uttar Pradesh,ALLAHABAD,Allahabad,Mahoba,211001,N/A,N/A,N/A,N/A,,,,,,,,Government,,,N/A,,,,25.46047,81.814778
2418,Moti Lal Nehru District Hospital Blood Bank,Uttar Pradesh,ALLAHABAD,Allahabad,"12 Dr. Katjoo Road, Allahabad Near Railway Station
",N/A,0532 2240031,9450073213,N/A,N/A,N/A,,Dr. B C Bughani,9450627501,9450627501,N/A,MD (Pathology),Government,YES,NO,24x7,38/SC/Pof 1997,3/7/1997,1/1/2013,25.439232,81.8286
2419,S.M. Medicare Private Limited Blood Bank,Uttar Pradesh,ALLAHABAD,Allahabad," 146, Karnal Ganj",,0532 2461665,N/A,N/A,N/A,,,,,,,,Private,,,N/A,,,,25.4609163,81.8581176
2420,AMA (Allahabad Medical Association) Blood Bank,Uttar Pradesh,ALLAHABAD,Allahabad,"Stanely Road, Allahabad
",211002,0532 2266513,N/A,N/A,N/A,N/A,,Dr. Archana Sharma,9453093453,9453093453,N/A,MD (Pathology),Charity,YES,YES,24/7,UP/B/&BP/2003/4,13-04-2003,6/4/2014,25.468205,81.844042
2421,Tejbahadur Sapru Hospital Blood Bank,Uttar Pradesh,ALLAHABAD,Allahabad,Stanley Road,,0532 2267687,9415205828,N/A,N/A,N/A,,Dr. O. P. Shahi,9415205828,9415205828,N/A,MD (Pathology),Government,YES,NO,N/A,UP/B&BP/2011/14,9/9/2011,8/9/2016,25.4784132,81.8503479
2422,Mahamaya Rajkiya Allopathic Medical College,Uttar Pradesh,AMBEDKAR NAGAR,Ambedkar Nagar,"Mahamaya Rajkiya Allopathic Medical College, Saddarpur Tanda 
",224190,05273 213000,"09818789357, 09212798250",N/A,N/A,bb.gmcambedkarnagar@gmail.com,,Dr. Manoj Gupta,9956775631,9956775631,N/A,MD (Pathology),Government,NO,NO,24X7,UP/B&BP/2012 /08,19-01-2012,19-01-2017,26.509125,82.6139
2423,Jyotibaphule Combined District Hospital Blood Bank,Uttar Pradesh,AMBEDKAR NAGAR,Ambedkar Nagar,,224122,N/A,N/A,N/A,N/A,,,,,,,,Private,,,N/A,,,,26.4371083,82.5402275
2424,Venkateshwara Institute of Medical Sciences Blood Bank,Uttar Pradesh,AMROHA,Amroha," Run by Shri Bankey Bihari Educational and Welfare Trust, NH-24, Rajabpur, Gajraula",,N/A,"09837041039, 09219446109",N/A,N/A,,,,,,,,Private,,,N/A,,,,#N/A,#N/A
2425,District Combined Hospital Blood Bank,Uttar Pradesh,AMROHA,Jyotiba Phule Nagar,,,0592 2253065,"07500612345, 07500712345",N/A,N/A,,,,,,,,Government,,,N/A,,,,28.7715965,78.3387066
2426,District Hospital Blood Bank,Uttar Pradesh,AURAIYA,Auriya,,,0583 242239,N/A,N/A,N/A,,,,,,,,Government,,,24x7,,,,26.6869797,79.4703885
2427,Govt. Medical College & Super Facility Hospital Azamgarh,Uttar Pradesh,AZAMGARH, Azamgarh,"First Floor, Campus Of Govt. Medical College",,,9450334293,,,,,Dr. Sunita,,9450334293,drsunitagsvm@gmail.com,,Government,YES,2,,,,,25.9043442,83.20632
2428,District Hospital Blood Bank,Uttar Pradesh,AZAMGARH,Azamgarh,"District Hospital Blood Bank, Azamgarh
",276001,05462 265172,9415648771,N/A,N/A,N/A,,Dr. Vinay Kumar,9415648771,9415648771,N/A,MD (Pathology),Government,YES,,24x7,44/SC/E/1997,1997/12,31-12-2012 Applied for renewal,26.6869797,79.4703885
2429,Maha Mritunijaya Hospital Lord Budha Medical College Blood Bank,Uttar Pradesh,AZAMGARH,Azamgarh,,,05462 245777,N/A,N/A,N/A,,,,,,,,Private,,,N/A,,,,26.0737044,83.1859458
2430,District Combined Hospital Blood Bank,Uttar Pradesh,BAGHPAT,Baghpat,"Bhajan Vihar, Baghpat",250609,,N/A,N/A,N/A,,,,,,,,Government,,,24x7,,,,28.946386,77.21707
2431,"M/s Astha Blood Bank and Components, Astha Multispeciality Hospital",Uttar Pradesh,BAGHPAT,Barut,"near P.N. Sharma Park, Delhi Road",N/A,N/A,9690261262,N/A,N/A,,,,,,,,Private,,,N/A,,,,29.0919245,77.2584159
2432,District Hospital Blood Bank,Uttar Pradesh,BAHRAICH,Bahraich,"Friganj, Bahraich",271801,05252 237265,9990552920,N/A,N/A,,,,,,,,Government,,,N/A,,,,27.572408,81.605903
2433,District Hospital Blood Bank,Uttar Pradesh,BALLIA,Ballia,"District Hospital Blood Bank
",277001,N/A,8382957867,N/A,N/A,N/A,,Dr. Mohamad Iqbal,8382957867,8382957867,N/A,MD (Pathology),Government,NO,NO,24x7,15/SC of /1999,2/8/1999,31-12-2012,25.750805,84.147468
2434,Combined District Hospital Blood Bank,Uttar Pradesh,BALRAMPUR,Balrampur,"Combined District Hospital, Balrampur
",271201,05263 235776,9450110947,N/A,N/A,N/A,,Dr. Satydev,7379379090,7379379090,N/A,"MBBS, D. Orth",Government,NO,NO,24x7,UP/B&BP/2012/09,27-01-2012,26-01-2017,27.409812,82.192775
2435,District Hospital Blood Bank,Uttar Pradesh,BANDA,Banda,"District Hospital, Banda
",210001,05192 220415,9450022562,N/A,N/A,N/A,,Dr. S. K. BAJPEY,9415569666,9415569666,N/A,"MBBS, DCP",Government,NO,NO,12x7,41/SC/P F1997,24-06-1997,28-12-2012(Applied for renewal),25.48931,80.334888
2436,District Hospital Blood Bank,Uttar Pradesh,BARABANKI,Barabanki,"District Hospital, Barabanki",222501,05248 228580,9839147027,N/A,N/A,N/A,,Dr. S.K. Shukla,9839147027,9839147027,N/A,"MBBS, DCP",Government,NO,NO,24x7,15/sc of 1997,01/2008 TO 31-12-2012,Applied for renewal,26.6869797,79.4703885
2437,Hind Institute of Medical Sciences,Uttar Pradesh,BARABANKI,Barabanki,"Near Minar Canal, Safedabad-Faizabad Road",225003,05248 221399,7309036038,N/A,N/A,,,,,,,,Private,YES,NO,24x7,UP/B&BP/2008/04,,28.03.2018,26.906812,81.122637
2438,Mayo Institute of Medical Sciences Blood Bank,Uttar Pradesh,BARABANKI,Barabanki,"Run by Bodhisatva Charitable Trust, Faizabad Road, Gadia aizabad Road, Gadia, Barabanki, Dharsani",225001,"05248 229696, 05248 229595",N/A,N/A,N/A,N/A,,Dr. D.K. Singh,9670334499,9670334499,N/A,MD (Pathology),Private,YES,NO,24x7,UP/B&BP/2014/14,26-05-2014,25-05-2019,26.909607,81.141778
2439,Military Hospital Blood Bank,Uttar Pradesh,BAREILLY,Bareilly,Hamirpur,243001,0581 2403584,N/A,N/A,N/A,,,,,,,,Government,,,24x7,,,,28.332012,79.426081
2440,District Hospital Blood Bank,Uttar Pradesh,BAREILLY,Bareilly,"Civil Lines, Bareilly, Uttar Pradesh
",243003,0581 2550009,9412377198,N/A,N/A,N/A,,Dr. U.V. Singh,N/A,N/A,N/A,MD (Pathology),Government,YES,YES,24x7,27/SCp of 1997,11/7/2011,11/7/2016,28.361399,79.416409
2441,Ganga Sheel Charitable Trust Blood Bank,Uttar Pradesh,BAREILLY,Bareilly," A-3, Rampur Garden",243001,"0581 2510083, 0581 2510140",9219413775,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,Private,YES,NO,24x7,UP/B&B.P./2002/06,27-06-2002,26-06-2017,28.347944,79.426794
2442,Sri Ram Murti Samarak Institute of Medical Sciences Blood Bank,Uttar Pradesh,BAREILLY,Bareilly,"Bareilly - Nainital Road, Bhojipura, Bareilly, Uttar Pradesh",243202,0581 2582014-25,N/A,0581 2882000,0581-2582030,drmilam@srmsims.ac.in,http://www.srms.ac.in,Dr. Milan Jaiswal,0581-2582014 to 25,9458702203,drmilan@srmsims.ac.in,"MBBS, MD (Path)",Charity,YES,NO,24x7,UP/B&BP/2004/06,18-08-2004,17-08-2019,28.481101,79.443201
2443,Keshav Madho Blood Bank and Pathology,Uttar Pradesh,BAREILLY,Bareilly,,,0581 2540318,N/A,N/A,N/A,,,,,,,,Private,,,12x7,,,,28.3670355,79.4304381
2444,Ruhelkhand Medical College and Hospital Blood Bank,Uttar Pradesh,BAREILLY,Bareilly,Pilibhit By Pass Road,243006,"0581 2526011, 0581 2526012",N/A,N/A,N/A,N/A,,Dr. S.S. Chawla,9456905235,9456905235,N/A,MD (Pathology),Private,YES,NO,24x7,UP/B&BP/2006/10,19-05-2006,19-05-2016,28.380191,79.462087
2445,Clara Swain Mission Hospital Blood Bank,Uttar Pradesh,BAREILLY,Bareilly,"Civil Lines, Bareilly",243001,0581 2500000,9415375744,N/A,N/A,,,,,,,,Private,,,24x7,,,,28.349627,79.415881
2446,IMA Blood Bank,Uttar Pradesh,BAREILLY,Bareilly,"IMA Bhawan, 110, Civil Lines",243001,0581 2422900,N/A,N/A,N/A,,,,,,,,Private,,,24x7,,,,28.346917,79.424735
2447,IMA Blood Bank,Uttar Pradesh,BAREILLY,Bareilly,"Run by Indian Medical Association, Civil Lines",243001,N/A,N/A,N/A,N/A,,,,,,,,Government,,,24x7,,,,28.346917,79.424734
2448,Rajshree Medical Research Institute,Uttar Pradesh,BAREILLY,Bareilly,"21 Km Near Toll Plaza, Rampur Road Bareilly",243501,8192000281,8192000283,,,,,Dr.NEETA AGARWAL,,8171161155,dr.adt7@gmail.com,,Charity,YES,NO,24 Hrs,UP/B&BP/2015/11,14/08/2015,13/08/2020,28.48308,79.285312
2449,District Hospital Blood Bank,Uttar Pradesh,BASTI,Basti,Bhinga,272002,05542 283273,9415133713,N/A,N/A,,,,,,,,Government,,,N/A,,,,26.800773,82.759197
2450,M/s Sewa Blood Bank,Uttar Pradesh,BASTI,Basti,"R.K. Puram, Near Kotwali",272002,5542209030,9415332416,N/A,N/A,sewabloodbank8@gmail.com,,Chandrbhan Sharma,5542209030,9919220100,,,Charity,NO,NO,N/A,U.P./B&B.P/2010/04,19-02-2010,17-02-2020,26.7800781,82.76441135
2451,OPEC Hospital Blood Bank,Uttar Pradesh,BASTI,Basti,"OPEC Hospital, Basti
",272002,05542 283021,9415375744,N/A,N/A,N/A,,Dr. Arti verma,9415036168,9415036168,N/A,"MBBS, MD",Private,YES,NO,24x7,UP/B&/BP/2011/12,8/9/2011,7/9/2016,26.779101,82.762356
2452,District Hospital Blood Bank,Uttar Pradesh,BIJNOR,Bijnor,Lakhimpur Khiri,246701,01342 262710,N/A,N/A,N/A,,,,,,,,Government,,,24x7,,,,29.384974,78.136521
2453,Sarvodaya Jankalyan Samati,Uttar Pradesh,BIJNOR,Bijnor,"Near Exchange, Kalagarh Road, Dharmpur",212650,"04344 230464, 04334 233533",N/A,N/A,N/A,,,,,,,,Private,,,24x7,,,,26.005074,81.044749
2454,Shubham Sarvam Charitable Blood Bank,Uttar Pradesh,BIJNOR,Bijnore, Civil Lines,,,9456040012,,,,,Dr. Ranjeet Singh,9456040012,9456040012,masood.javed0@gmail.com,,Charity,YES,2,,,,,29.3768141,78.1374119
2455,District Hospital Blood Bank,Uttar Pradesh,BUDAUN,Badaun,Bareilly,243601,05832 266264,7351009125,N/A,N/A,,,,,,,,Government,,,N/A,,,,28.027732,79.126275
2456,Wadhwa Blood Bank,Uttar Pradesh,BULANDSHAHR,Bulandshahar,"Chattari Compound, Teachers Colony Road, Near Lala Ka Chaurah",203001,05732 233998,9359202132,N/A,N/A,,,,,,,,Private,,,N/A,,,,28.410102,77.8422717
2457,Babu Banarasi Das District Hospital Blood Bank,Uttar Pradesh,BULANDSHAHR,Bulandshahar,Gonda,201206,05732 254633,9415538903,N/A,N/A,,,,,,,,Government,,,24x7,,,,28.728373,77.468591
2458,NAPS (Narora Atomic Power Station) Hospital Blood Bank,Uttar Pradesh,BULANDSHAHR,Narora,Narora,203389,05734 222261,9837085170,N/A,N/A,,,,,,,,Private,,,N/A,,,,28.205915,78.379131
2459,Pt. Kamlapati District Combined Hospital,Uttar Pradesh,CHANDAULI,Chandauli,"District Combined Hospital, Chandauli
",232104,05412 260497,9457472623,N/A,N/A,N/A,,Dr. Ashok Kumar,9451988980,9451988980,N/A,MD (Pathology),Government,NO,NO,12 AM to 7 PM,UP/B&BP/P/2012/05,30-01-2012,19-01-2017,25.258688,83.2737859
2460,Combined District Hospital Blood Bank,Uttar Pradesh,CHITRAKOOT,Chitrakoot,"Combined District Hospital
",210205,05198 236555,9651882226,N/A,N/A,N/A,,Dr. Pramod Kumar,8127399700,8127399700,N/A,MBBS,Government,NO,NO,24x7,UP/B&BP/2012/03,20-01-2012,19-01-2017,25.196167,80.914609
2461,District Hospital Blood Bank,Uttar Pradesh,DEORIA,Deoria,"Saket Nagar, Deoria",274807,05568 227691,N/A,N/A,N/A,,,,,,,,Government,,,N/A,,,,26.495682,83.781488
2462,District Hospital Blood Bank,Uttar Pradesh,ETAH,Etah,Ferozabad,,0574 2234091,N/A,N/A,N/A,,,,,,,,Government,,,N/A,,,,26.6869797,79.4703885
2463,Dr. Bhimrao Ambedkar Combined Hospital (District Hospital),Uttar Pradesh,ETAWAH,Etawah,"Civil Lines, Etawah
",206001,05688 255526,"09415285642, 09415190840",9415190840,N/A,N/A,,Dr. S.S. Bhadoria,8057232167,8057232167,N/A,"MBBS, DCP",Government,NO,NO,24x7,55/SC/P OF 1997,13-10-1997,25-02-2013,26.787903,79.005523
2464,Rural Institute of Medical Sciences and Research,Uttar Pradesh,ETAWAH,Etawah,Safai,206130,05688 276563,9411689343,N/A,5688276509,N/A,http:/www.rimsnr.ac.in,Dr. Sweta chaudhary,9411689343,9411689343,shwetakashipur@gmail.com,MBBS,Government,YES,NO,24x7,UP/B&BP/2006/04,20/07/2011,19/07/2016,26.96145,78.962055
2465,Achintya Charitable,Uttar Pradesh,ETAWAH,Etawah,"199/180-A, Friends Colony, Bharathana Chauraha Road",,5688263015,7055014666,,,,,Dr. Vivek Singh Chakravarti,,9568461017,chakravartidrvivek@gmail.com,,Charity,NO,NO,,,,,#N/A,#N/A
2466,District Hospital Blood Bank,Uttar Pradesh,FAIZABAD,Faizabad,Shahjahanpur,224001,05278 220078,9557207450,N/A,N/A,,,,,,,,Government,,,24x7,,,,26.777679,82.141614
2467,Chandan Diagnostics Center and Blood Bank,Uttar Pradesh,FAIZABAD,Faizabad,"Mukut Complex Near District Hospital Rakabganj, Lajpat Nagar, Faizabad",224001,N/A,N/A,N/A,N/A,,,,,,,,Private,,,24x7,,,,26.774399,82.143734
2468,The Care Hospital Blood Bank,Uttar Pradesh,FARRUKHABAD,Farrukhabad,"5C/A-22, Avas Vikas, Near Lohiya Hospital",209625,05692-240248,5692240248,,,,,Dr K. M. Dwivedi,,5692240248,drkmdwivedi@gmail.com,,Private,YES,2,,,,,27.381687,79.6010758
2469,Dr. Ram Manohar Lohiya Joint Hospital,Uttar Pradesh,FARRUKHABAD,Fatehgarh,"Dr. Ram Manohar Lohiya Joint Hospital, Farrukhabad
",209625,05692 240256,9415486482,N/A,N/A,N/A,,Dr. Rajesh Tiwari,9760098645,9760098645,N/A,"MBBS, DCH",Government,NO,NO,24x7,30/SC/P of 1997,3/7/1997,31-12-2012,#N/A,#N/A
2470,District Hospital Blood Bank,Uttar Pradesh,FARRUKHABAD,Frukhabad,"MDR 110W, LIC Officers Colony, Awas Vikas Colony, Farrukhabad",209625,N/A,N/A,N/A,N/A,,,,,,,,Government,,,24x7,,,,26.6869797,79.4703885
2471,District Hospital Blood Bank,Uttar Pradesh,FATEHPUR,Fatehpur,Azamgarh,222001,N/A,9719429909,N/A,N/A,,,,,,,,Government,,,N/A,,,,25.936333,80.813799
2472,Shyam Nursing Home and Blood Bank,Uttar Pradesh,FATEHPUR,Fatehpur,"400/761, Civil Line (Near S.P. Residence)",212601,05180 221166,"09918571436, 08896865866",18001805181,N/A,,http://www.rjdc.in,Dr. S. K. Uttam,05180 221166,9839273240,sandeeputtam.2009@rediffmail.com,M.B.B.S,Private,NO,NO,24x7,U.P./B&BP/2014/01,10/2/2014,9/2/2019,25.930647,80.800955
2473,"SNM, District Hospital Blood Bank",Uttar Pradesh,FIROZABAD,Firozabad,"Rehna Road, Bypass Road Company Baag, Arya Nagar
",283203,9639011119,9415068049,N/A,N/A,N/A,, Dr. Naveen Jain,9412170496,9412170496,N/A,"MBBS, DCP",Government,NO,NO,24x7,36/FT/P of 1997,,Applied for Renewal,27.157627,78.389439
2474,Jeevan Dhara Blood Bank,Uttar Pradesh,FIROZABAD,Firozabad,"8 Buddh Ashram, Bye Paas Road",283203,N/A,N/A,N/A,N/A,,,,,,,,Private,,,N/A,,,,27.160557,78.398609
2475,Dr. M.C. Agrawal Hospital and Research Centre Private limited,Uttar Pradesh,FIROZABAD,Firozabad,"Kotla Chungi, Bye Pass Road",283203,N/A,N/A,N/A,N/A,,,,,,,,Private,,,N/A,,,,27.159652,78.403521
2476,F.H. Hospital Blood Bank,Uttar Pradesh,FIROZABAD,Firozabad,"Near Etmadpur, Railway over Bridge NH-2, Tundla District, Firozabad",283201,,"08477936666, 08194005712",N/A,N/A,,,,,,,,Private,,,24x7,,,,27.230412,78.212065
2477,Sevarth Sansthan Blood Bank,Uttar Pradesh,FIROZABAD,Firozabad,"Sevarth Sansthan Seth Bimal Kumar Jain Trauma and Phsytherapy Dharmarth Samiti, NH-2, Agra Road",283102,"05612 240022, 05612 240033","08194027777, 08066885404",N/A,N/A,,,,,,,,Private,,,24x7,,,,27.23053,78.21226
2478,Naveen Hospital,Uttar Pradesh,GAUTAM BUDDHA NAGAR,Dadri,Railway Road,201310,0120 2321356,N/A,N/A,N/A,,,,,,,,Private,,,N/A,,,,28.477615,77.518568
2479,International Hospital Private Limited Blood Bank,Uttar Pradesh,GAUTAM BUDDHA NAGAR,Gautam Budh nagar," B-22, Sector -62",201301,"0120 4300222,0120 2400222 ",N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,Private,,,N/A,UP/B&BP/2005/01,N/A,N/A,28.5987611,77.3471111
2480,Noida Charitable Blood Bank,Uttar Pradesh,GAUTAM BUDDHA NAGAR,Gautam Budh Nagar," 2Nd Floor, Khasra No. 587, I Block Near Shiv Mandir, Moolchand Tower Village-Chaura Sec-22, Noida",,0120-2414555,8130999392,,,,,Dr. Sameer Kumar,,8130999392,noidabloodbank@gmail.com,,Charity,YES,2,,,,,28.599059,77.3451042
2481,Sharda Hospital Blood Bank,Uttar Pradesh,GAUTAM BUDDHA NAGAR,Greater Noida,"Plot No. 32-34, Knowledge Park-III",201306,0120 3212361,N/A,N/A,N/A,,http://www.shardahospital.org/,,,,,,Private,,,24x7,,,,28.474444,77.4827
2482,Kailash Hospital Llimited,Uttar Pradesh,GAUTAM BUDDHA NAGAR,Greater Noida," A unit of Kailash Group of Hospitals Limited, 23 KP-1, NEAR PARI CHOWK",201301,"0120 2327338, 0120 2327339",N/A,N/A,N/A,,http://khlbloodbank@gmail.com,Dr. Prashant Kumar Singh,,9818462683,,,Private,YES,YES,24x7,U.P./B&B.P/2011/03,8/4/2011,8/4/2016,28.577474,77.331606
2483,Shri Krishna Life Line Hospital Blood Bank ,Uttar Pradesh,GAUTAM BUDDHA NAGAR,Greater Noida,"NH-22D, Sector Tau Swarn Nagri, Greater Noida, Gautam Buddha Nagar",201310,120 2399180,9540700708,,,,,Dr. Sarika Kesarwani,,8130668870,skllhospital@gmail.com,,Private,YES,NO,,,,,28.460872,77.532452
2484,Kailash Hospital and Heart Institute ,Uttar Pradesh,GAUTAM BUDDHA NAGAR,Noida,"A Unit of Kailash Healthcare Limited, H-33, Sector-27, Noida",201301,0120 2444444,8750472409,"0120 2444444, 0120 2466666",120 2552323,N/A,http://www.kailashhealthcare.com/,N/A,N/A,N/A,N/A,N/A,Private,,,24x7,N/A,N/A,N/A,28.577472,77.331603
2485,Metro Hospital and Heart Institute,Uttar Pradesh,GAUTAM BUDDHA NAGAR,Noida,"X-1, Sector -12",201301,"0120 2533491,0120 2533489",9415060292,N/A,N/A,,,Dr. Deepti Agrwal,9643030081,9643030081,blodbank@metrohospital.com,"MBBS, MD",Private,YES,YES,24x7,69/SC/P of 1997,31-12-2017,30-12-2022,28.597462,77.338017
2486,Prayag Hospital and Research Centre,Uttar Pradesh,GAUTAM BUDDHA NAGAR,Noida,"J-206/A-01, Sector-41",201301,0120 4021900,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,Private,,,N/A,UP/B&BP/04/2004,13-05-2004,12-05-2008 (Applied for renewal),28.563602,77.365447
2487,Prakash Hospital Blood Bank,Uttar Pradesh,GAUTAM BUDDHA NAGAR,Noida,"D-12, 12-A, 12-B, Sector-33",201301,0120 2505264,"09810075993, 09810073239",N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,Private,YES,,24x7,N/A,N/A,N/A,28.58564,77.34952
2488,Rotary Noida Research and Social Welfare Trust Blood Bank,Uttar Pradesh,GAUTAM BUDDHA NAGAR,Noida,"E-2, IMA House, Sector-31, Nithari",201308,0120 4282685,N/A,N/A,N/A,N/A,http://www.rotarynoidabloodbank.org,N/A,N/A,N/A,N/A,N/A,Private,NO,,24 x 7,U.P/B & B.P/2011/05,9/6/2011,8/6/2016,28.576931,77.339491
2489,Dr. Bhimrao Ambedkar Multi Specialty Hospital Blood Bank,Uttar Pradesh,GAUTAM BUDDHA NAGAR,Noida,Sector-30,201303,N/A,"09818789357, 09212798250",N/A,N/A,N/A,,Dr. Lavaniya,9818789357,9818789357,N/A,MD (Pathology),Private,NO,NO,24x7,UP/B&BP/2012/07,20-01-2012,19-01-2017,28.576565,77.33745
2490,Yatharth Wellness Super Speciality Hospital and Heart Care Blood Bank,Uttar Pradesh,GAUTAM BUDDHA NAGAR,Noida,"NH-01, Sector-110",201304,N/A,"08800797906, 08800797911",N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,Private,YES,,24x7,N/A,N/A,N/A,28.532064,77.384568
2491,Jaypee Hospital Blood Bank,Uttar Pradesh,GAUTAM BUDDHA NAGAR,Noida,"A Unit of Jaypee Healthcare Limited, Sector-128",201304,0120 4582868,,N/A,N/A,N/A,http://www.jaypeehealthcare.com,Dr. Prashant Pandey,"0120 4582868, 0120 4582011, 0120 4588439",N/A,N/A,N/A,Private,YES,YES,24x7,UP/B&BP/2014/12,N/A,N/A,28.515258,77.371495
2492,Modern Pathology and Blood Bank,Uttar Pradesh,GHAZIABAD,Ghaziabad,"SA-96, Shastri Nagar",201002,0120 2752570,"08750472409, 09651941352",N/A,N/A,N/A,,Dr. Swati Singh,N/A,N/A,N/A,MD (Pathology),Private,NO,NO,24x7,UP/B &BP/2009/7,20-04-2007 to 19-04-2012,20-04-2012 to 19-04-2017,28.6728333,77.4595769
2493,Santosh Medical and Dental College,Uttar Pradesh,GHAZIABAD,Ghaziabad,Kushinagar,201009,"0120 2791741, 0120 2791735",9927087638,N/A,N/A,,http://www.santoshuniversity.com/,,,,,,Private,,,24x7,,,,28.670024,77.432342
2494,"MMG, District Hospital Blood Bank",Uttar Pradesh,GHAZIABAD,Ghaziabad,"MMG, District Hospital Ghaziabad",201001,0120 2853030,9990552920,N/A,N/A,N/A,,Dr. Manju Yadav,N/A,N/A,N/A,MBBS,Government,YES,NO,24x7,35/SC/P OF1997,1/1/2013,31-12-2017,28.662528,77.42361
2495,Yashoda Hospital and Research,Uttar Pradesh,GHAZIABAD,Ghaziabad,3rd M Nehru Nagar ,201001,"0120 4182000, ext.128",9718884111,N/A,N/A,,,DR MEENU CHOPRA,,9718884111,rawatkundan78@gmail.com,,Private,YES,YES,24X7,UP/B&BP/02/04,2004,19-Jan,28.66037,77.442026
2496,Life Line Blood Bank,Uttar Pradesh,GHAZIABAD,Ghaziabad,"Life Line Blood Bank 3rd B2 Nehru Nagar
",201001,0120 2793989,N/A,N/A,N/A,N/A,,Dr. Heera Lal Sharma,9312400576,9312400576,N/A,MD (Pathology),Private,YES,YES,24x7,UP B&BP/2004/07,,Applied for renewal,28.669238,77.440304
2497,"Yashoda Hospital and Research Centre Limited, Kaushambi",Uttar Pradesh,GHAZIABAD,Ghaziabad,"H-1, Kaushambi, Near Dabur Chowk, Ghaziabad",201001,0120 4181900,9711103446,N/A,N/A,yashodakaushambibb@gmail.com,http://yashodahospital.org/,Dr. Sachin Rastogi,9899548336,9899548336,N/A,MD (Pathologist ),Private,YES,YES,24x7,UP/B & BP/2006/07,2006,31-08-2016 (Under Renewal),28.659996,77.438403
2498,Lok Priya Hospital Blood Bank,Uttar Pradesh,GHAZIABAD,Ghaziabad," G.T. Road, Modinagar",250003,01232 247556,N/A,N/A,N/A,,,,,,,,Private,,,24x7,,,,28.968368,77.730589
2499,"Pushpanjali Crossley Hospital (Max Superspeciality Hospital, Vaishali)",Uttar Pradesh,GHAZIABAD,Ghaziabad,"W-3, Sector-I, Vaishali",201012,0120 4173042,9891864672,N/A,N/A,pradeep.singhnegi@maxhealthcare.com,,Dr. Abhinav Verma,9650764864,9650764864,abhinav.verma@maxhealthcare.com,"MBBS, DCP",Private,YES,YES,24x7,BP/2009/06,11/11/2014,10/9/2019,28.634769,77.333007
2500,M/s Shanti Gopal Hospital Blood Bank,Uttar Pradesh,GHAZIABAD,Ghaziabad,"Plot No. NH-1, Ahinsa Khand-II, Indrapuram",201014,0120 4777000,"09598060511, 09598060512",N/A,N/A,N/A,,Dr. Neelam,9811148125,9811148125,N/A,MD (Pathology),Private,YES,YES,24x7,UP/B&BP/P /2010/07,12/4/2010,Applied for renewal,28.641918,77.379325
2501,Divya Joyati Institute Of Medical Science & Research,Uttar Pradesh,GHAZIABAD,Ghaziabad,"Niwari Road, Road, Modinagar
",201204,,9368564762,,,,,Dr. Guru Dutt,,9927038281,guru6modinagar@gmail.com,,Private,NO,NO,,,,,28.830657,77.570159
2502,Family Health Care Hospital Blood Bank,Uttar Pradesh,GHAZIABAD,Ghaziabad,"15-H.C. -1 Vasundhara, Gaziabad, Uttar Pradesh",201012,0120 4225556,9953234790,N/A,N/A,familyhealthcarehospital@gmail.com,http://www.familyhealthcare.nic.in,Dr. Suresh,0120 4225556,9810325452,familyhealthcarehospital@gmail.com,"DNB, MD, MEDICINE",Private,YES,YES,24x7,U.P/B&B.P/2013/07,13-11-2013,12/11/2018,28.652652,77.360171
2503,Atlanta Mediworld Multispeciality Hospital,Uttar Pradesh,GHAZIABAD,Ghaziabad,"NH-1, Sector-14, Vasundhara",201010,1204735555-1302,9650128880,,,,,Dr. Raju Singh,,8375968248,,,Private,YES,NO,,,,,28.657847,77.360777
2504,Idst Mayo Hospital Blood Bank,Uttar Pradesh,GHAZIABAD,Ghaziabad,"Delhi Meerut Road, Nh-58, Kadrabad, Modinagar",,8449711767,8449711767,,,,,Dr. Yogendra Mittal,,8073237198,idst@gmail.com,,Private,NO,,,,,,#N/A,#N/A
